 ,Essentials,Enterprise
VI) Administration & User Privileges,,
III) Reporting,,
V) Workflow,,
II) Functional Features,,
I) User Interface,,
VI) Administration & User Privileges,,
User-defined Roles-Page Controls Privileges,0.0,0.0
IV) Notifications,,
III) Reporting,,
I) User Interface,,
IV) Notifications,,
III) Reporting,,
Grouping Data,0.0,0.0
VI) Administration & User Privileges,,
VII) Mobile Application,,0.0
User-defined Roles-Forms Privileges,0.0,0.0
III) Reporting,,
VI) Administration & User Privileges,,
Linking single User to Multiple Roles,0.0,0.0
IV) Notifications,,
V) Workflow,,
III) Reporting,,
VI) Administration & User Privileges,,
III) Reporting,,
Data Visualization (User-defined Charts),0.0,0.0
Aggregate Functions,0.0,0.0
